artista,musica,observacao,tag
Bikini Kill,Rebel Girl,,rock
Bill Medley and Jennifer Warnes,(I've Had) The Time of My Life,Dirty Dancing,soundtrack
Billy Currington,That's how country boyd roll,,
Billy Idol,Rebel Yell,,50s-80s
Billy Idol,White Wedding,,50s-80s
Billy Joel,Uptown Girl,,50s-80s
Billy Idol,Mony Mony,,50s-80s
Billy Joel,Big Shot,,50s-80s
Billy Joel,The entertainer,,50s-80s
Billy Joel,I go to Extremes,,50s-80s
Billy Joel,Its Still Rock and Roll to Me,,50s-80s
Billy Joel,Miami 2017,,50s-80s
Billy Joel,Movin out,,50s-80s
Billy Joel,My Life,,50s-80s
Billy Joel,Only the Good Die Young,,50s-80s
Billy Joel,Piano Man,,50s-80s
Billy Joel,Prelude Angry Young Man,,50s-80s
Billy Joel,Pressure,,50s-80s
Billy Joel,Say Goodbye to Hollywood,,50s-80s
Billy Joel,The Stranger,,50s-80s
Billy Joel,We Didnt start the fire,,50s-80s
Billy Joel,You May Be Right,,50s-80s
BIS,The Powerpuff Girls (END THEME),PPG,
Bish,Paint it Back,,j-song
The Black Eyed Peas,Pump It,,Pop
The Black Eyed Peas,Let's Get It Started,,pop
The Black Keys,Howlin' for You,,rock indie
The Black Keys,Lonely Boy,,rock indie 
The Black Keys,Tighten Up,,rock indie
BLACKPINK,BOOMBAYAH,,kpop
BLACKPINK,DDU-DU DDU-DU,,kpop
BLACKPINK,How You Like That,sem bateria,k-pop
BLACKPINK,As If It's Your Last,,k-pop
BLACKPINK,Kill This Love,,k-pop
Black Raison D'être,Inside Identity,Chuunibyou,anime
Black Sabbath,Iron Man,,metal 50s-80s
Black Sabbath,Paranoid,,metal 50s-80s
Black Sabbath,N.I.B.,,metal 50s-80s
Black Sabbath,War Pigs,,metal 50s-80s
Black Tide,Honest Eyes,Street Fighter X Tekken,soundtrack
Black Tide,Shockwave,,
BLINK-182,Always,,rock
BLINK-182,First Date,,rock
BLINK-182,What's My Age Again?,,rock
BLINK-182,Aliens Exist,,rock
BLINK-182,All the Small Things,,rock
Blondie,Heart of Glass,,rock 50s-80s
Blondie,One Way or Another,,rock 50s-80s
Blue Encount,Polaris,Boku no Hero Academia,anime
The Blue Hearts,Mirai wa Bokura no Te no Naka,Kaiji sem bateria,anime
Blur,Song 2,Uiihuuul :D Simpsons e Winning Eleven,Rock soundtrack
Blue Oyster Cult,(Don't Fear) The Reaper,,rock 50s-80s
Blue Oyster Cult,transmaniacon MC,,rock 50s-80s
Bob Dylan,Knockin' on Heaven's Door,,rock 50s-80s
Bob Dylan,Tangled Up in Blue,,rock 50s-80s
Bob Marley and The Wailers,Get Up Stand Up,,
Bob Marley and The Wailers,Is This Love,,
Bob Marley and The Wailers,Three Little Birds,,
Bon Jovi,You Give Love A Bad Name,,50s-80s
Bon Jovi,Always,,rock 50s-80s
Bon Jovi,Because We Can,,rock 50s-80s
Bon Jovi,Livin' on a Prayer,,rock 50s-80s
Bon Jovi,I'll Sleep When I'm Dead,,rock 50s-80s
Bon Jovi,Bed of Roses,,rock 50s-80s
